Station ID,Group,Sample Date (mm/dd/yyyy),Sample Time (hh:mm),Establishment Date (mm/dd/yyyy),Establishment Time (hh:mm),Time Zone,Core X:Y,Accretion Measurement 1 (mm),Accretion Measurement 2 (mm),Accretion Measurement 3 (mm),Accretion Measurement 4 (mm),Core Conditions,Organization,Personnel,Notes
CRMS0581-A02,PS2,1/30/2023,10:37,3/29/2010,10:17,CST,5;5,,,,,No Feldspar,COASTAL ESTUARY SERVICES LLC,L. Ledoux; M. Vincent; C. Briolo; J. Aguillard,Site is flooded 24 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Root Abundance is Low; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0581-A02,PS2,1/30/2023,10:37,3/29/2010,10:17,CST,5;3,221,224,,,Poor (Broken Feldspar; n=2); Possible feldspar drift from nearby plot. Upper ring readings include: 142.57 mm; 146.42 mm; 143.82 mm.,COASTAL ESTUARY SERVICES LLC,L. Ledoux; M. Vincent; C. Briolo; J. Aguillard,Site is flooded 24 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Root Abundance is Low; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0581-A06,PS2,1/30/2023,10:37,3/29/2010,10:17,CST,4;5,,,,,No Feldspar; Potential drift. Readings include: 145.34 mm; 145.46 mm.,COASTAL ESTUARY SERVICES LLC,L. Ledoux; M. Vincent; C. Briolo; J. Aguillard,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Root Abundance is Low; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0581-A06,PS2,1/30/2023,10:37,3/29/2010,10:17,CST,2;1,,,,,No Feldspar,COASTAL ESTUARY SERVICES LLC,L. Ledoux; M. Vincent; C. Briolo; J. Aguillard,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Root Abundance is Low; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0581-A06,PS2,1/30/2023,10:37,3/29/2010,10:17,CST,4;1,,,,,No Feldspar,COASTAL ESTUARY SERVICES LLC,L. Ledoux; M. Vincent; C. Briolo; J. Aguillard,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Root Abundance is Low; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0581-A10,PS2,1/30/2023,10:37,3/29/2010,10:17,CST,3;5,180,184,185,,Fair (Broken Feldspar; n=3),COASTAL ESTUARY SERVICES LLC,L. Ledoux; M. Vincent; C. Briolo; J. Aguillard,Site is flooded 22 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Root Abundance is Low; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0589-A02,PS2,1/30/2023,12:34,3/29/2010,11:28,CST,4;5,,,,,No Feldspar,COASTAL ESTUARY SERVICES LLC,L. LeDoux; M. Vincent; J. Aguillard; C. Briolo,Site is flooded 10 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; No Roots; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0589-A02,PS2,1/30/2023,12:34,3/29/2010,11:28,CST,2;5,,,,,No Feldspar,COASTAL ESTUARY SERVICES LLC,L. LeDoux; M. Vincent; J. Aguillard; C. Briolo,Site is flooded 10 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; No Roots; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0589-A02,PS2,1/30/2023,12:34,3/29/2010,11:28,CST,3;4,119,123,118,122,Excellent (Solid Feldspar; n=4),COASTAL ESTUARY SERVICES LLC,L. LeDoux; M. Vincent; J. Aguillard; C. Briolo,Site is flooded 10 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; No Roots; Firm  mineral (clayey) soil; No Thatch; No Disturbance
CRMS0589-A06,PS2,1/30/2023,12:34,3/29/2010,11:28,CST,,,,,,No Core; Plot exhausted.,COASTAL ESTUARY SERVICES LLC,L. LeDoux; M. Vincent; J. Aguillard; C. Briolo,Plot exhausted. ; Site is flooded 12 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; No Thatch; No Disturbance
