Station ID,Group,Sample Date (mm/dd/yyyy),Sample Time (hh:mm),Establishment Date (mm/dd/yyyy),Establishment Time (hh:mm),Time Zone,Core X:Y,Accretion Measurement 1 (mm),Accretion Measurement 2 (mm),Accretion Measurement 3 (mm),Accretion Measurement 4 (mm),Core Conditions,Organization,Personnel,Notes
CRMS0565-A03,PS3,4/17/2024,12:12,4/4/2012,13:00,CST,5;2,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),G. Kees; B. Bergeron; R. Villani,Site is flooded; Water depth is 12 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; No Thatch
CRMS0565-A03,PS3,4/17/2024,12:12,4/4/2012,13:00,CST,5;4,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),G. Kees; B. Bergeron; R. Villani,Site is flooded; Water depth is 12 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; No Thatch
CRMS0565-A03,PS3,4/17/2024,12:12,4/4/2012,13:00,CST,3;2,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),G. Kees; B. Bergeron; R. Villani,Site is flooded; Water depth is 12 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; No Thatch
CRMS0565-A08,PS3,4/17/2024,12:12,4/4/2012,13:00,CST,4;2,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),G. Kees; B. Bergeron; R. Villani,Site is flooded; Water depth is 3 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and firm; Root abundance is high; Thatch thickness is 1 cm; Accretion measured to below thatch
CRMS0565-A08,PS3,4/17/2024,12:12,4/4/2012,13:00,CST,3;2,108,110,,,Poor (broken feldspar; n=2),U.S. GEOL SURVEY (USGS),G. Kees; B. Bergeron; R. Villani,Site is flooded; Water depth is 3 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and firm; Root abundance is high; Thatch thickness is 1 cm; Accretion measured to below thatch
CRMS0565-A11,PS3,4/17/2024,12:12,4/4/2012,13:00,CST,,,,,,No Core,U.S. GEOL SURVEY (USGS),G. Kees; B. Bergeron; R. Villani,"A11 finished, no remaining coordinates left to sample"
CRMS0565-A14,PS6,4/17/2024,11:52,3/7/2018,8:45,CST,4;5,27,21,18,19,Excellent (solid feldspar; n=4),U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; No Thatch
CRMS0565-A18,PS6,4/17/2024,11:52,3/7/2018,8:45,CST,2;2,20,27,,,Poor (broken feldspar; n=2),U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 8 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; No Thatch
CRMS0565-A19,PS8,4/17/2024,12:03,4/3/2023,9:13,CST,4;3,2,4,,,Poor (broken feldspar; n=2),U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 5 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and firm; Root abundance is medium; No Thatch; Vegetation very dense
CRMS0565-A22,PS8,4/17/2024,12:03,4/3/2023,9:13,CST,1;5,,,,,No Feldspar; Core fell off during extraction,U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 8.5 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; Thatch thickness is 2 cm; Accretion measured to below thatch
CRMS0565-A22,PS8,4/17/2024,12:03,4/3/2023,9:13,CST,3;5,10,6,,,Poor (broken feldspar; n=2),U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 8.5 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; Thatch thickness is 2 cm; Accretion measured to below thatch
CRMS0565-A25,PS8,4/17/2024,12:03,4/3/2023,9:13,CST,4;3,6,0,0,5,"Excellent (solid feldspar; n=4); Uneven surface, feldspar partially on surface ",U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 5 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and soft; Root abundance is high; No Thatch; Uneven surface
CRMS0565-A29,PS6,4/17/2024,11:52,3/7/2018,8:45,CST,4;2,20,14,20,22,Excellent (solid feldspar; n=4),U.S. GEOL SURVEY (USGS),G. Kees; R. Villani; B. Bergeron,Site is flooded; Water depth is 6 cm; Vegetation is senesced; Dominant species is Cladium mariscus; No Disturbance; Soil is organic and firm; Root abundance is high; No Thatch; Vegetation very dense
CRMS0568-A03,PS3,4/5/2024,8:44,4/18/2012,10:50,CST,2;5,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),E. Fromenthal; R. Villani; B. Bergeron,Site is flooded; Water depth is 14 cm; Vegetation is dead; Dominant species is Phragmites australis; No Disturbance; Soil is organic and soft; Root abundance is low; No Thatch; Live vegetation also present
CRMS0568-A03,PS3,4/5/2024,8:44,4/18/2012,10:50,CST,4;2,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),E. Fromenthal; R. Villani; B. Bergeron,Site is flooded; Water depth is 14 cm; Vegetation is dead; Dominant species is Phragmites australis; No Disturbance; Soil is organic and soft; Root abundance is low; No Thatch; Live vegetation also present
CRMS0568-A03,PS3,4/5/2024,8:44,4/18/2012,10:50,CST,3;1,61,59,,,Poor (broken feldspar; n=2),U.S. GEOL SURVEY (USGS),E. Fromenthal; R. Villani; B. Bergeron,Site is flooded; Water depth is 14 cm; Vegetation is dead; Dominant species is Phragmites australis; No Disturbance; Soil is organic and soft; Root abundance is low; No Thatch; Live vegetation also present
CRMS0568-A07,PS3,4/5/2024,8:44,4/18/2012,10:50,CST,5;2,,,,,No Feldspar,U.S. GEOL SURVEY (USGS),E. Fromenthal; R. Villani; B. Bergeron,Site is flooded; Water depth is 20 cm; Vegetation is dead; Dominant species is Phragmites australis; Disturbance is animal trail; Soil is organic and soft; Root abundance is medium; No Thatch; Live vegetation also present
